Date,Open,High,Low,Close,Volume
10/9/15,111.64,112.28,109.49,112.12,52533783
10/12/15,112.73,112.75,111.44,111.6,30114425
10/13/15,110.82,112.45,110.68,111.79,32424018
10/14/15,111.29,111.52,109.56,110.21,44325611
10/15/15,110.93,112.1,110.49,111.86,37340996
10/16/15,111.78,112,110.53,111.04,38236278
10/19/15,110.8,111.75,110.11,111.73,29606075
10/20/15,111.34,114.17,110.82,113.77,48778770
10/21/15,114,115.58,113.7,113.76,41795238
10/22/15,114.33,115.5,114.1,115.5,41272693
10/23/15,118.77,119.23,116.33,119.08,59139552
10/26/15,118.08,118.13,114.92,115.28,66019504
10/27/15,115.4,116.54,113.99,114.55,57953589
10/28/15,117.58,119.3,116.06,119.27,85023324
10/29/15,118.7,120.69,118.27,120.53,50240803
10/30/15,120.99,121.22,119.45,119.5,48811991
11/2/15,120.8,121.36,119.61,121.18,31761309
11/3/15,120.79,123.49,120.7,122.57,45331025
11/4/15,122.56,123.82,121.62,122,44343498
11/5/15,121.85,122.69,120.18,120.92,39258480
11/6/15,121.08,121.81,120.62,121.06,32931447
11/9/15,120.96,121.81,120.05,120.57,33657546
11/10/15,116.9,118.07,116.06,116.77,58635125
11/11/15,116.37,117.42,115.21,116.11,45104903
11/12/15,116.26,116.82,115.65,115.72,32262598
11/13/15,115.2,115.57,112.27,112.34,45164053
11/16/15,111.38,114.24,111,114.18,37651022
11/17/15,114.92,115.05,113.32,113.69,27253964
11/18/15,115.76,117.49,115.5,117.29,46163404
11/19/15,117.64,119.75,116.76,118.78,42908179
11/20/15,119.2,119.92,118.85,119.3,34103529
11/23/15,119.27,119.73,117.34,117.75,32266736
11/24/15,117.33,119.35,117.12,118.88,42426855
11/25/15,119.21,119.23,117.92,118.03,21388308
11/27/15,118.29,118.41,117.6,117.81,13043720
11/30/15,117.99,119.41,117.75,118.3,37658671
12/1/15,118.75,118.81,116.86,117.34,34700991
12/2/15,117.34,118.11,116.08,116.28,33198964
12/3/15,115.24,116.79,114.22,115.2,41569509
12/4/15,115.29,119.25,115.11,119.03,57776977
12/7/15,118.32,119.86,117.81,118.28,32084249
12/8/15,117.52,118.6,116.86,118.23,34309450
12/9/15,115.3,117.69,115.08,115.62,46361357
12/10/15,116.04,116.94,115.51,116.17,29212727
12/11/15,115.19,115.39,112.85,113.18,46886161
12/14/15,112.18,112.68,109.79,112.48,64318732
12/15/15,111.94,112.8,110.35,110.49,53323105
12/16/15,111.07,111.99,108.8,111.34,56238467
12/17/15,112.02,112.25,108.98,108.98,44772827
12/18/15,108.91,109.52,105.81,106.03,96453327
12/21/15,107.28,107.37,105.57,107.33,47590610
12/22/15,107.4,107.72,106.45,107.23,32789367
12/23/15,107.27,108.85,107.2,108.61,32657354
12/24/15,109,109,107.95,108.03,13596680
12/28/15,107.59,107.69,106.18,106.82,26704210
